,Macro F-measure,CHI,FEM,KCHI,MAL,SPEECH
,%,,,,,
item,,,,,,
test/tsimane_C12_20170709_5640,34.25867907359447,0.0,0.13708808348930898,0.7323789106500489,0.0,0.8434669595403658
test/tsimane_C12_20170709_9240,48.68066756964525,0.22775725593667553,0.0,0.5434710642784026,1.0,0.6628050582671843
test/tsimane_C12_C13_M07_20170709_12840,57.957404198544396,0.0,0.20097555774715467,0.8512886904368736,1.0,0.8456059617431918
test/tsimane_C12_C13_M07_20170709_16440,46.92711014479284,0.2051594026564689,0.487276458854593,0.9512743813502756,0.0,0.7026452643783045
test/tsimane_C12_C13_M07_20170709_20040,30.688542143342378,0.23546725533480461,0.0,0.5621539011174405,0.0,0.7368059507148739
test/tsimane_C12_C13_M07_20170709_2040,45.193388863933606,1.0,0.5958882512455073,0.0,0.0,0.663781191951173
test/tsimane_C12_C13_M07_20170709_23640,32.51781970766442,0.0,0.0,0.840354067820497,0.0,0.785536917562724
test/tsimane_C12_C13_M07_20170709_27240,54.948617825113764,0.0,0.0,0.8351301777490401,1.0,0.9123007135066485
test/tsimane_C12_C13_M07_20170709_30840,27.87107477092941,0.46687905851221423,0.34175382347998096,0.0,0.0,0.5849208565542752
test/tsimane_C12_C13_M07_20170709_34440,40.071399465509025,0.0,0.0,0.7644002255699669,0.53561006302954,0.7035596846759443
test/tsimane_C12_C13_M07_20170709_38040,37.99104758753785,0.6053292968526874,0.48644513728717287,0.0,0.0,0.8077779452370323
test/tsimane_C12_C13_M07_20170709_41640,52.02714411270439,0.02533296358199118,1.0,0.0,1.0,0.5760242420532284
test/tsimane_C12_C13_M07_20170709_5640,34.25867907359447,0.0,0.13708808348930898,0.7323789106500489,0.0,0.8434669595403658
test/tsimane_C12_C13_M07_20170709_9240,48.68066756964525,0.22775725593667553,0.0,0.5434710642784026,1.0,0.6628050582671843
test/tsay_CEY_020212,73.81662876159585,0.07684556122614948,0.880056904063306,0.7928984938353292,1.0,0.9410304789550076
test/tsay_CEY_020307,43.82727497853171,0.0,0.7717720283327089,0.659594223167546,0.0,0.7599974974263305
test/tsay_CEY_020322,74.98915379491736,0.0,0.9122815629295107,0.8900065211369906,1.0,0.947169605679367
test/tsay_CEY_020405,75.47063479106801,0.0,0.9298790714096562,0.8843302113338519,1.0,0.9593224568098929
test/tsay_CEY_020426,74.15102731648565,0.0,0.9025982906899722,0.8778295851967499,1.0,0.92712348993756
test/tsay_CEY_020607,74.5337769894061,0.0,0.8811815129142174,0.9020005309008415,1.0,0.9435068056552464
test/tsay_CEY_020619,54.476227702098676,0.0,0.8915797170270873,0.8924364324473326,0.0,0.9397952356305146
test/tsay_CEY_020705,53.90399033915104,0.0,0.8933823331179128,0.8676325164925957,0.0,0.9341846673470433
test/tsay_CEY_020719,53.8377253315731,0.0,0.8776004649744902,0.8780760913965114,0.0,0.9362097102076532
test/tsay_CEY_020802,53.45680260995842,0.0,0.8889073316231384,0.8596868732109114,0.0,0.9242459256638712
test/tsay_CEY_020816,74.09253913529463,0.0,0.9047319865536856,0.8601572212477819,1.0,0.9397377489632641
test/tsay_CEY_020900,54.264975310626205,0.0,0.9099074264450174,0.8583479713709891,0.0,0.944993367715304
test/tsay_CEY_020922,53.0788030515987,0.0,0.8733300498161285,0.8555494232441695,0.0,0.9250606795196368
test/tsay_CEY_021004,58.559521481921195,0.30728633553234797,0.8506744771145421,0.8311617002115863,0.0,0.938853561237583
test/tsay_CEY_021019,51.903727485822394,0.0,0.8388191475260575,0.8550351789995511,0.0,0.901332047765511
test/tsay_CEY_021130,50.25090167848714,0.0,0.825313242302488,0.8128936888833147,0.0,0.8743381527385539
test/tsay_CEY_030013,52.8451662644966,0.0,0.8683405089005849,0.8636076627444195,0.0,0.9103101415798257
test/tsay_CEY_030027,53.43910842449645,0.0,0.8818729705296419,0.8582119000518825,0.0,0.9318705506432982
test/tsay_CEY_030110,53.31276889711274,0.0,0.8894375881801994,0.8434086887742398,0.0,0.9327921679011978
test/tsay_CEY_030125,52.712219849318366,0.0,0.8732968549738727,0.8369917790168933,0.0,0.9253223584751524
test/tsay_CEY_030209,54.45270609037407,0.0,0.904374580421154,0.8744755180338852,0.0,0.9437852060636643
test/tsay_CEY_030228,53.79858052185826,0.0,0.8812042815754869,0.8706845301761232,0.0,0.9380402143413032
test/tsay_CEY_030319,52.77174938398925,0.0,0.871830506510272,0.8543079501444517,0.0,0.9124490125447386
test/tsay_CEY_030410,51.28885836542722,0.0,0.8319853770082075,0.8433897750692605,0.0,0.8890677661938927
test/tsay_CEY_030501,33.676814662112264,0.0,0.5532974158471728,0.5464637267314995,0.0,0.5840795905269408
test/tsay_CEY_030521,75.59780134277318,0.3748419442760749,0.7205137373091519,0.7649487803696983,1.0,0.9195856051837338
test/tsay_CEY_030613,51.816996073085456,0.0,0.8707247832736141,0.817071554864713,0.0,0.9030534655159457
test/tsay_CEY_030704,53.48262140900293,0.0,0.8774640495617948,0.8643138575742352,0.0,0.9323531633141164
test/tsay_CEY_030816,50.411227303014186,0.0,0.8519839269992745,0.7509703174523814,0.0,0.9176071206990534
test/tsay_CEY_030907,50.386678394935146,0.0,0.8280612950341116,0.7631718161463834,0.0,0.9281008085662623
test/tsay_CEY_031000,52.14374046350533,0.0,0.8417862667688184,0.8257566153439733,0.0,0.9396441410624745
test/paido_c2at05m221,93.13627454819917,1.0,1.0,0.6834221190183488,1.0,0.97339160839161
test/paido_c2at08m121,89.50060940944272,1.0,1.0,0.5002895328098586,1.0,0.9747409376622775
test/paido_c2at09f311,91.1921558169006,1.0,1.0,0.5848904824289219,1.0,0.9747173084161087
test/paido_c2at10m321,91.96572972600319,1.0,1.0,0.6251825984735183,1.0,0.9731038878266408
test/paido_c2bt13m221,88.80623531182898,1.0,1.0,0.4653794772263248,1.0,0.9749322883651242
test/paido_c2bt13m222,90.5250219149195,1.0,1.0,0.5535090545852921,1.0,0.9727420411606841
test/paido_c2bt18f121,91.21500253770442,1.0,1.0,0.5846294796948904,1.0,0.9761206471903306
test/paido_c3at02f311,91.14239774049562,1.0,1.0,0.5826166738026785,1.0,0.9745032132221029
test/paido_c3at03f311,92.34408267883897,1.0,1.0,0.639664388928007,1.0,0.9775397450139413
test/paido_c3at04f221,93.84643276908191,1.0,1.0,0.7168479055932123,1.0,0.9754737328608835
test/paido_c3at06f111,91.32612329999908,1.0,1.0,0.5898109357702581,1.0,0.9764952292296956
test/paido_c3bt13f121,93.83064554581824,1.0,1.0,0.715164451343748,1.0,0.9763678259471644
test/paido_c3bt13f122,93.35526450457886,1.0,1.0,0.6935791418437613,1.0,0.9741840833851813
test/paido_c3bt17m211,90.9313948228845,1.0,1.0,0.5733288907115038,1.0,0.9732408504327215
test/paido_c3bt22f311,92.01134321914938,1.0,1.0,0.6240818861217583,1.0,0.9764852748357111
test/paido_c3bt23m321,90.77502756836417,1.0,1.0,0.5613908715866677,1.0,0.9773605068315412
test/paido_c4at01f211,92.99160261885619,1.0,1.0,0.6761082483022218,1.0,0.9734718826405879
